DATE,atm,Cash
2010-05-01,ATM1,86.55756451504175
2010-05-02,ATM1,100.72700887563484
2010-05-03,ATM1,73.56746138955845
2010-05-04,ATM1,4.218697689662649
2010-05-05,ATM1,100.08864581227903
2010-05-06,ATM1,79.3553202078795
2010-05-07,ATM1,85.69286061691474
2010-05-08,ATM1,87.11589179822636
2010-05-09,ATM1,100.42235221476308
2010-05-10,ATM1,73.68576090016599
2010-05-11,ATM1,4.211756734501615
2010-05-12,ATM1,100.12422273106645
2010-05-13,ATM1,79.34066658177505
2010-05-14,ATM1,85.7004525828086
2010-05-15,ATM1,87.11213119613143
2010-05-16,ATM1,100.42439709012346
2010-05-17,ATM1,73.68496550907413
2010-05-18,ATM1,4.211803346383963
2010-05-19,ATM1,100.12398363854221
2010-05-20,ATM1,79.3407650409949
2010-05-21,ATM1,85.7004015664753
2010-05-22,ATM1,87.11215646532031
2010-05-23,ATM1,100.42438334935818
2010-05-24,ATM1,73.68497085373093
2010-05-25,ATM1,4.211803033171354
2010-05-26,ATM1,100.12398524513729
2010-05-27,ATM1,79.34076437939201
2010-05-28,ATM1,85.70040190928255
2010-05-29,ATM1,87.11215629552248
2010-05-30,ATM1,100.42438344169003
2010-05-31,ATM1,73.68497081781719
2010-05-01,ATM2,66.18426840285719
2010-05-02,ATM2,72.05294388246041
2010-05-03,ATM2,10.028574334933412
2010-05-04,ATM2,1.8514010066281996
2010-05-05,ATM2,94.25151838834302
2010-05-06,ATM2,88.46584385833405
2010-05-07,ATM2,65.61338540481107
2010-05-08,ATM2,65.91074417034766
2010-05-09,ATM2,70.79489855484911
2010-05-10,ATM2,11.40777651334555
2010-05-11,ATM2,2.2854885057507066
2010-05-12,ATM2,97.73122720314396
2010-05-13,ATM2,89.3344217218551
2010-05-14,ATM2,67.0336204369095
2010-05-15,ATM2,66.1223403967619
2010-05-16,ATM2,71.17048473139776
2010-05-17,ATM2,11.019053780884976
2010-05-18,ATM2,2.2692687483325074
2010-05-19,ATM2,97.28693441065458
2010-05-20,ATM2,89.09631353444809
2010-05-21,ATM2,66.64930799183966
2010-05-22,ATM2,66.2735186591892
2010-05-23,ATM2,71.10169548810102
2010-05-24,ATM2,11.010378983018104
2010-05-25,ATM2,2.2741858095679497
2010-05-26,ATM2,97.51625205096963
2010-05-27,ATM2,89.04127836376007
2010-05-28,ATM2,66.64237055016733
2010-05-29,ATM2,66.33518064377589
2010-05-30,ATM2,71.1596008480071
2010-05-31,ATM2,10.956702134569639
2010-05-01,ATM3,0.7205479452054795
2010-05-02,ATM3,0.7205479452054795
2010-05-03,ATM3,0.7205479452054795
2010-05-04,ATM3,0.7205479452054795
2010-05-05,ATM3,0.7205479452054795
2010-05-06,ATM3,0.7205479452054795
2010-05-07,ATM3,0.7205479452054795
2010-05-08,ATM3,0.7205479452054795
2010-05-09,ATM3,0.7205479452054795
2010-05-10,ATM3,0.7205479452054795
2010-05-11,ATM3,0.7205479452054795
2010-05-12,ATM3,0.7205479452054795
2010-05-13,ATM3,0.7205479452054795
2010-05-14,ATM3,0.7205479452054795
2010-05-15,ATM3,0.7205479452054795
2010-05-16,ATM3,0.7205479452054795
2010-05-17,ATM3,0.7205479452054795
2010-05-18,ATM3,0.7205479452054795
2010-05-19,ATM3,0.7205479452054795
2010-05-20,ATM3,0.7205479452054795
2010-05-21,ATM3,0.7205479452054795
2010-05-22,ATM3,0.7205479452054795
2010-05-23,ATM3,0.7205479452054795
2010-05-24,ATM3,0.7205479452054795
2010-05-25,ATM3,0.7205479452054795
2010-05-26,ATM3,0.7205479452054795
2010-05-27,ATM3,0.7205479452054795
2010-05-28,ATM3,0.7205479452054795
2010-05-29,ATM3,0.7205479452054795
2010-05-30,ATM3,0.7205479452054795
2010-05-31,ATM3,0.7205479452054795
2010-05-01,ATM4,86.71044311495066
2010-05-02,ATM4,100.57957590837303
2010-05-03,ATM4,73.65332586607835
2010-05-04,ATM4,4.221914641845475
2010-05-05,ATM4,100.15930668807367
2010-05-06,ATM4,79.34221713150833
2010-05-07,ATM4,85.77303826948852
2010-05-08,ATM4,87.21325721342096
2010-05-09,ATM4,100.39361705152169
2010-05-10,ATM4,73.65332586607835
2010-05-11,ATM4,4.221914641845475
2010-05-12,ATM4,100.15930668807367
2010-05-13,ATM4,79.34221713150833
2010-05-14,ATM4,85.77303826948852
2010-05-15,ATM4,87.21325721342096
2010-05-16,ATM4,100.39361705152169
2010-05-17,ATM4,73.65332586607835
2010-05-18,ATM4,4.221914641845475
2010-05-19,ATM4,100.15930668807367
2010-05-20,ATM4,79.34221713150833
2010-05-21,ATM4,85.77303826948852
2010-05-22,ATM4,87.21325721342096
2010-05-23,ATM4,100.39361705152169
2010-05-24,ATM4,73.65332586607835
2010-05-25,ATM4,4.221914641845475
2010-05-26,ATM4,100.15930668807367
2010-05-27,ATM4,79.34221713150833
2010-05-28,ATM4,85.77303826948852
2010-05-29,ATM4,87.21325721342096
2010-05-30,ATM4,100.39361705152169
2010-05-31,ATM4,73.65332586607835
